title,course,startdate,deadline
Mastering the Food Truck Business Model - Midterm,CM3045,2024-03-25T0:00:00,2024-06-30T23:59:59
Case Study Analysis - The Rise of Organic Farming,CM3045,2024-02-20T0:00:00,2024-03-30T23:59:59
Conditional Logic - Problem Solving Assessment,CM3045,2024-02-28T0:00:00,2024-03-30T23:59:59
Loops and Iterations - Practical Coding Challenge,CM3045,2024-03-25T0:00:00,2024-05-30T23:59:59
Case Study - Securing Digital Infrastructures,CM3045,2024-02-25T0:00:00,2024-03-30T23:59:59
Data-Driven Decisions - Visualizing BI Solutions,CM3045,2024-04-05T0:00:00,2024-06-30T23:59:59
ETL in Action - Transforming Workplace Data,CM3045,2024-04-20T0:00:00,2024-07-30T23:59:59
React in Practice - Building Your First Web App,CM3065,2024-02-20T0:00:00,2024-03-30T23:59:59
Serverless Architecture - Microservice Deployment,CM3035,2024-05-20T0:00:00,2024-08-30T23:59:59
Augmented Reality - Developing Your First AR Game,CM3005,2024-05-20T0:00:00,2024-08-30T23:59:59
